Slide Type,Table Type,Title,Table Name,Target Calls,Data,,,,,,,,,,,,
Skip,,,Title Slide,,,,,,,,,,,,,,
Single,Ripple,All Accounts,Combined,3528,10/08/2023,"$214,463","98@$2,188",0.50,"1,778@$121","$138,182","71@$1,946",0.57,"1,778@$78","$76,281","27@$2,825",0.38,0@$0
Single,Ripple,All Google,,,10/08/2023,"$138,182",,"71@$1,946",0.57,"1,778@$78","(,25,46,)","$722,119",,"480@$1,504",0.77,"8,906@$81","(,210,270,)"
Single,Ripple,Goog/Criminal,,,10/08/2023,"$65,433","13@$5,033","17@$3,849",0.34,615@$106,"(,13,4,)","$278,217","148@$1,880","168@$1,656",0.83,"2,705@$103","(,148,20,)"
Single ,Ripple,Goog/Immigration,,,10/08/2023,"$39,747","28@$1,420","29@$1,371",0.71,556@$71,"(,1,28,)","$287,994","182@$1,582","195@$1,477",0.66,"3,511@$82","(,13,182,)"
Single,Ripple,Goog/Brand,,,10/08/2023,"$24,933",,"23@$1,084",1.05,574@$43,"(,9,14,)","$113,149",,"112@$1,010",1.13,"2,555@$44","(,46,66,)"
Single,Ripple,Goog/Competitor,,,10/08/2023,$488,,2@$244,5.84,4@$122,"(,2,,)","$1,450",,4@$362,3.60,13@$112,"(,3,1,)"
Single,Ripple,Goog/PI,,,10/08/2023,"$6,746",0@$0,0@$0,0.00,22@$307,"(,,,)","$36,091",0@$0,0@$0,0.00,83@$435,"(,,,)"
Single,Ripple,All Facebook,,,10/08/2023,"$76,281",,"27@$2,825",0.38,0@$0,"(,7,20,)","$257,478",,"180@$1,430",0.75,0@$0,"(,48,132,)"
Single,Ripple,Personal Injury,,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Criminal,,,10/08/2023,"$10,309","5@$2,062","9@$1,145",1.06,0@$0,"(,5,4,)","$77,816","37@$2,103","56@$1,390",0.91,0@$0,"(,37,19,)"
Single,Ripple,Immigration,,,10/08/2023,"$65,972","16@$4,123","18@$3,665",0.27,0@$0,"(,2,16,)","$179,662","113@$1,590","124@$1,449",0.68,0@$0,"(,11,113,)"
Multiple,Ripple,Los Angeles,Combined,,10/08/2023,"$30,906",,"7@$4,415",0.25,208@$149,"(,2,5,)","$132,471",,"93@$1,424",0.84,995@$133,"(,49,44,)"
,,,Criminal/Los Angeles,192,10/08/2023,"$16,977","2@$8,488","3@$5,659",0.22,120@$141,"(,2,1,)","$62,894","42@$1,497","47@$1,338",1.03,488@$129,"(,42,5,)"
,,,Immigration/Los Angeles,125,10/08/2023,"$7,692","3@$2,564","3@$2,564",0.37,88@$87,"(,,3,)","$46,116","30@$1,537","31@$1,488",0.65,505@$91,"(,1,30,)"
,,,Competitor/Los Angeles,,10/08/2023,$87,,0@$0,0.00,0@$0,"(,,,)",$335,,0@$0,0.00,2@$168,"(,,,)"
,,,Criminal/Los Angeles,,10/08/2023,"$1,002",0@$0,"1@$1,002",0.95,0@$0,"(,,1,)","$2,707","1@$2,707","2@$1,354",0.88,0@$0,"(,1,1,)"
,,,Immigration/Los Angeles,100,10/08/2023,"$5,148",0@$0,0@$0,0.00,0@$0,"(,,,)","$20,419","8@$2,552","13@$1,571",0.72,0@$0,"(,5,8,)"
Multiple,Ripple,San Jose ,Combined,,10/08/2023,"$22,688",,"6@$3,781",0.31,103@$220,"(,3,3,)","$72,697",,"43@$1,691",0.67,563@$129,"(,17,26,)"
,,,Criminal/San Jose,95,10/08/2023,"$5,697","2@$2,848","2@$2,848",0.50,45@$127,"(,2,,)","$24,373","11@$2,216","11@$2,216",0.64,211@$116,"(,11,,)"
,,,Immigration/San Jose,62,10/08/2023,"$3,567","1@$3,567","1@$3,567",0.27,58@$62,"(,,1,)","$25,331","15@$1,689","17@$1,490",0.68,352@$72,"(,2,15,)"
,,,Competitor/San Jose,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/San Jose,,10/08/2023,"$1,502","1@$1,502",2@$751,1.58,0@$0,"(,1,1,)","$5,418","4@$1,354","5@$1,084",1.23,0@$0,"(,4,1,)"
,,,Immigration/San Jose,112,10/08/2023,"$11,922","1@$11,922","1@$11,922",0.08,0@$0,"(,,1,)","$17,575","10@$1,758","10@$1,758",0.54,0@$0,"(,,10,)"
Multiple,Ripple,Ontario,Combined,,10/08/2023,"$9,458",,"2@$4,729",0.25,55@$172,"(,1,1,)","$40,458",,"23@$1,759",0.67,292@$139,"(,11,12,)"
,,,Criminal/Ontario,64,10/08/2023,"$6,550","1@$6,550","1@$6,550",0.22,37@$177,"(,1,,)","$21,160","10@$2,116","12@$1,763",0.76,162@$131,"(,10,2,)"
,,,Immigration/Ontario,32,10/08/2023,"$1,647","1@$1,647","1@$1,647",0.58,18@$92,"(,,1,)","$11,387","5@$2,277","6@$1,898",0.54,130@$88,"(,1,5,)"
,,,Competitor/Ontario,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Ontario,,10/08/2023,$184,0@$0,0@$0,0.00,0@$0,"(,,,)",$883,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Ontario,43,10/08/2023,"$1,077",0@$0,0@$0,0.00,0@$0,"(,,,)","$7,028","5@$1,406","5@$1,406",0.68,0@$0,"(,,5,)"
Multiple,Ripple,Fresno,Combined,,10/08/2023,"$7,887",,"3@$2,629",0.42,25@$315,"(,1,2,)","$32,471",,"22@$1,476",0.79,134@$242,"(,10,12,)"
,,,Criminal/Fresno,31,10/08/2023,$940,0@$0,0@$0,0.00,5@$188,"(,,,)","$11,157","7@$1,594","7@$1,594",0.89,64@$174,"(,7,,)"
,,,Immigration/Fresno,16,10/08/2023,"$1,399",2@$700,2@$700,1.36,19@$74,"(,,2,)","$6,279","6@$1,046","6@$1,046",0.91,68@$92,"(,,6,)"
,,,Competitor/Fresno,,10/08/2023,$18,,0@$0,0.00,1@$18,"(,,,)",$265,,0@$0,0.00,2@$132,"(,,,)"
,,,Criminal/Fresno,,10/08/2023,"$1,266",0@$0,0@$0,0.00,0@$0,"(,,,)","$6,343","2@$3,172","5@$1,269",0.90,0@$0,"(,2,3,)"
,,,Immigration/Fresno,76,10/08/2023,"$4,264",0@$0,"1@$4,264",0.33,0@$0,"(,1,,)","$8,427","3@$2,809","4@$2,107",0.51,0@$0,"(,1,3,)"
Multiple,Ripple,Santa Ana,Combined,,10/08/2023,"$7,223",,"2@$3,612",0.33,54@$134,"(,1,1,)","$40,169",,"26@$1,545",0.79,301@$133,"(,15,11,)"
,,,Criminal/Santa Ana,17,10/08/2023,"$3,641",0@$0,0@$0,0.00,29@$126,"(,,,)","$22,593","13@$1,738","13@$1,738",0.82,155@$146,"(,13,,)"
,,,Immigration/Santa Ana,20,10/08/2023,"$2,006","1@$2,006","1@$2,006",0.47,25@$80,"(,,1,)","$11,619","9@$1,291","9@$1,291",0.74,146@$80,"(,,9,)"
,,,Competitor/Santa Ana,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Santa Ana,,10/08/2023,$154,1@$154,1@$154,9.25,0@$0,"(,1,,)",$976,1@$976,1@$976,1.46,0@$0,"(,1,,)"
,,,Immigration/Santa Ana,47,10/08/2023,"$1,422",0@$0,0@$0,0.00,0@$0,"(,,,)","$4,981","2@$2,490","3@$1,660",0.67,0@$0,"(,1,2,)"
Multiple,Ripple,Bakerfield,Combined,,10/08/2023,"$3,970",,4@$992,1.08,27@$147,"(,1,3,)","$24,892",,"22@$1,131",0.95,120@$207,"(,6,16,)"
,,,Criminal/Bakersfield,18,10/08/2023,"$1,241","1@$1,241","1@$1,241",1.15,17@$73,"(,1,,)","$4,548","1@$4,548","1@$4,548",0.31,63@$72,"(,1,,)"
,,,Immigration/Bakersfield,12,10/08/2023,"$1,193",2@$596,2@$596,1.59,10@$119,"(,,2,)","$6,310",11@$574,11@$574,1.66,57@$111,"(,,11,)"
,,,Competitor/Bakersfield,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Bakersfield,,10/08/2023,$475,0@$0,0@$0,0.00,0@$0,"(,,,)","$8,144","5@$1,629","5@$1,629",0.87,0@$0,"(,5,,)"
,,,Immigration/Bakersfield,47,10/08/2023,"$1,061","1@$1,061","1@$1,061",0.90,0@$0,"(,,1,)","$5,890","5@$1,178","5@$1,178",0.81,0@$0,"(,,5,)"
Multiple,Ripple,Stockton,Combined,,10/08/2023,"$1,981",,2@$990,1.20,6@$330,"(,1,1,)","$12,864",,"5@$2,573",0.44,67@$192,"(,2,3,)"
,,,Criminal/Stockton,14,10/08/2023,$606,1@$606,1@$606,2.35,5@$121,"(,1,,)","$4,919","2@$2,460","2@$2,460",0.58,36@$137,"(,2,,)"
,,,Immigration/Stockton,7,10/08/2023,$507,0@$0,0@$0,0.00,1@$507,"(,,,)","$4,070",0@$0,0@$0,0.00,31@$131,"(,,,)"
,,,Competitor/Stockton,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Stockton,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Stockton,70,10/08/2023,$868,1@$868,1@$868,1.09,0@$0,"(,,1,)","$3,875","3@$1,292","3@$1,292",0.74,0@$0,"(,,3,)"
Multiple,Ripple,Dallas,Combined,,10/08/2023,"$26,368",,"9@$2,930",0.36,152@$173,"(,2,7,)","$137,337",,"84@$1,635",0.72,998@$138,"(,40,44,)"
,,,Criminal/Dallas,104,10/08/2023,"$10,753",0@$0,"1@$10,753",0.09,81@$133,"(,,1,)","$48,888","21@$2,328","25@$1,956",0.69,526@$93,"(,21,4,)"
,,,Immigration/Dallas,90,10/08/2023,"$6,796","1@$6,796","2@$3,398",0.35,71@$96,"(,1,1,)","$53,454","21@$2,545","28@$1,909",0.56,470@$114,"(,7,21,)"
,,,Competitor/Dallas,,10/08/2023,$22,,0@$0,0.00,0@$0,"(,,,)",$177,,0@$0,0.00,2@$88,"(,,,)"
,,,Criminal/Dallas,,10/08/2023,"$1,299",0@$0,"1@$1,299",0.73,0@$0,"(,,1,)","$18,851","10@$1,885","16@$1,178",1.06,0@$0,"(,10,6,)"
,,,Immigration/Dallas,179,10/08/2023,"$7,498","4@$1,874","5@$1,500",0.70,0@$0,"(,1,4,)","$15,967","13@$1,228","15@$1,064",0.95,0@$0,"(,2,13,)"
Multiple,Ripple,Houston,Combined,,10/08/2023,"$29,114",,"15@$1,941",0.55,206@$141,"(,4,11,)","$112,196",,"97@$1,157",0.94,988@$114,"(,28,69,)"
,,,Criminal/Houston,67,10/08/2023,"$7,413","3@$2,471","4@$1,853",0.70,142@$52,"(,3,1,)","$35,126","24@$1,464","31@$1,133",1.16,546@$64,"(,24,7,)"
,,,Immigration/Houston,88,10/08/2023,"$3,248",4@$812,4@$812,1.17,63@$52,"(,,4,)","$33,547","26@$1,290","28@$1,198",0.82,439@$76,"(,2,26,)"
,,,Competitor/Houston,,10/08/2023,$14,,0@$0,0.00,1@$14,"(,,,)",$200,,0@$0,0.00,3@$67,"(,,,)"
,,,Criminal/Houston,,10/08/2023,"$1,297","1@$1,297","1@$1,297",1.10,0@$0,"(,1,,)","$4,754","2@$2,377","3@$1,585",0.80,0@$0,"(,2,1,)"
,,,Immigration/Houston,275,10/08/2023,"$17,142","6@$2,857","6@$2,857",0.33,0@$0,"(,,6,)","$38,569","35@$1,102","35@$1,102",0.86,0@$0,"(,,35,)"
Multiple,Ripple,Austin,Combined,,10/08/2023,$364,,0@$0,0.00,0@$0,"(,,,)","$3,610",,"1@$3,610",0.26,0@$0,"(,,1,)"
,,,Criminal/Austin,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Austin,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Competitor/Austin,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Austin,,10/08/2023,$124,0@$0,0@$0,0.00,0@$0,"(,,,)",$468,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Austin,,10/08/2023,$240,0@$0,0@$0,0.00,0@$0,"(,,,)","$3,142","1@$3,142","1@$3,142",0.30,0@$0,"(,,1,)"
Multiple,Ripple,San Antorio,Combined,,10/08/2023,"$10,279",,"2@$5,140",0.23,63@$163,"(,1,1,)","$53,641",,"20@$2,682",0.41,238@$225,"(,6,14,)"
,,,Criminal/San Antonio,,10/08/2023,"$2,653",0@$0,0@$0,0.00,32@$83,"(,,,)","$9,884","2@$4,942","3@$3,295",0.38,93@$106,"(,2,1,)"
,,,Immigration/San Antonio,,10/08/2023,"$2,731",0@$0,0@$0,0.00,31@$88,"(,,,)","$12,813","6@$2,136","6@$2,136",0.44,145@$88,"(,,6,)"
,,,Competitor/San Antonio,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/San Antonio,,10/08/2023,"$1,467","1@$1,467","1@$1,467",0.97,0@$0,"(,1,,)","$12,862","3@$4,287","7@$1,837",0.63,0@$0,"(,3,4,)"
,,,Immigration/San Antonio,,10/08/2023,"$3,428","1@$3,428","1@$3,428",0.28,0@$0,"(,,1,)","$18,082","3@$6,027","4@$4,520",0.24,0@$0,"(,1,3,)"
Multiple,Ripple,Las Vegas,Combined,,10/08/2023,"$4,897",,"2@$2,448",0.39,18@$272,"(,,2,)","$19,319",,"14@$1,380",0.76,118@$164,"(,3,11,)"
,,,Criminal/Las Vegas,12,10/08/2023,$813,0@$0,0@$0,0.00,4@$203,"(,,,)","$5,032","3@$1,677","3@$1,677",0.85,40@$126,"(,3,,)"
,,,Immigration/Las Vegas,15,10/08/2023,$770,2@$385,2@$385,2.47,14@$55,"(,,2,)","$5,528","4@$1,382","4@$1,382",0.69,78@$71,"(,,4,)"
,,,Competitor/Las Vegas,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$17,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Las Vegas,,10/08/2023,$180,0@$0,0@$0,0.00,0@$0,"(,,,)",$880,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Las Vegas,46,10/08/2023,"$3,134",0@$0,0@$0,0.00,0@$0,"(,,,)","$7,862","7@$1,123","7@$1,123",0.85,0@$0,"(,,7,)"
Multiple,Ripple,Phoenix,Combined,,10/08/2023,"$9,164",,"8@$1,146",0.93,28@$327,"(,2,6,)","$37,218",,"28@$1,329",0.83,137@$272,"(,9,19,)"
,,,Criminal/Phoenix,17,10/08/2023,"$1,475",0@$0,0@$0,0.00,8@$184,"(,,,)","$6,623",0@$0,0@$0,0.00,35@$189,"(,,,)"
,,,Immigration/Phoenix,18,10/08/2023,"$2,738",4@$684,4@$684,1.39,20@$137,"(,,4,)","$13,351","10@$1,335","10@$1,335",0.71,102@$131,"(,,10,)"
,,,Competitor/Phoenix,,10/08/2023,$42,,2@$21,67.86,0@$0,"(,2,,)",$84,,4@$21,62.20,0@$0,"(,3,1,)"
,,,Criminal/Phoenix,,10/08/2023,"$1,080",0@$0,"1@$1,080",0.88,0@$0,"(,,1,)","$7,126","5@$1,425","7@$1,018",1.27,0@$0,"(,5,2,)"
,,,Immigration/Phoenix,91,10/08/2023,"$3,829","1@$3,829","1@$3,829",0.25,0@$0,"(,,1,)","$10,034","6@$1,672","7@$1,433",0.71,0@$0,"(,1,6,)"
Multiple,Ripple,Chicago,Combined,,10/08/2023,"$9,371",,"6@$1,562",0.81,136@$69,"(,4,2,)","$57,275",,"32@$1,790",0.66,621@$92,"(,16,16,)"
,,,Criminal/Chicago,63,10/08/2023,"$6,673","3@$2,224","4@$1,668",0.78,90@$74,"(,3,1,)","$21,018","12@$1,752","13@$1,617",0.86,286@$73,"(,12,1,)"
,,,Immigration/Chicago,96,10/08/2023,"$1,391","1@$1,391","1@$1,391",0.68,46@$30,"(,,1,)","$20,927","11@$1,902","11@$1,902",0.50,333@$63,"(,,11,)"
,,,Competitor/Chicago,,10/08/2023,$3,,0@$0,0.00,0@$0,"(,,,)",$71,,0@$0,0.00,2@$36,"(,,,)"
,,,Criminal/Chicago,,10/08/2023,$281,1@$281,1@$281,5.07,0@$0,"(,1,,)","$8,404","4@$2,101","5@$1,681",0.79,0@$0,"(,4,1,)"
,,,Immigration/Chicago,156,10/08/2023,"$1,023",0@$0,0@$0,0.00,0@$0,"(,,,)","$6,855","3@$2,285","3@$2,285",0.42,0@$0,"(,,3,)"
Multiple,Ripple,Miami,Combined,,10/08/2023,"$7,974",,"7@$1,139",0.83,92@$87,"(,,7,)","$48,219",,"37@$1,303",0.73,655@$74,"(,,37,)"
,,,Criminal/Miami,160,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Miami,186,10/08/2023,"$4,059",6@$676,6@$676,1.40,92@$44,"(,,6,)","$37,262","28@$1,331","28@$1,331",0.71,655@$57,"(,,28,)"
,,,Competitor/Miami,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Miami,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Miami,119,10/08/2023,"$3,915","1@$3,915","1@$3,915",0.24,0@$0,"(,,1,)","$10,957","9@$1,217","9@$1,217",0.78,0@$0,"(,,9,)"
Multiple,Ripple,Denver,Combined,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Competitor/Denver,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Criminal/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Multiple,Ripple,National,Combined,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/National,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
,,,Competitor/National,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
,,,Immigration/National,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Brand,Combined,,,,,,,,,,,,,,
Single,Ripple,Los Angeles,Brand/Los Angeles,,10/08/2023,"$7,537",,10@$754,1.64,166@$45,"(,6,4,)","$31,747",,41@$774,1.56,724@$44,"(,22,19,)"
Single,Ripple,San Jose,Brand/San Jose,,10/08/2023,"$5,468",,"2@$2,734",0.43,122@$45,"(,1,1,)","$20,941",,"19@$1,102",1.02,457@$46,"(,7,12,)"
Single,Ripple,Ontario,Brand/Ontario,,10/08/2023,"$1,903",,2@$952,1.00,66@$29,"(,,2,)","$11,095",,16@$693,1.54,292@$38,"(,4,12,)"
Single,Ripple,Fresno,Brand/Fresno,,10/08/2023,"$1,150",,2@$575,2.07,25@$46,"(,1,1,)","$7,052",,"6@$1,175",0.94,122@$58,"(,2,4,)"
Single,Ripple,Santa Ana,Brand/Santa Ana,,10/08/2023,"$1,181",,0@$0,0.00,22@$54,"(,,,)","$6,800",,8@$850,1.33,155@$44,"(,3,5,)"
Single,Ripple,Bakersfield,Brand/Bakersfield,,10/08/2023,$697,,0@$0,0.00,15@$46,"(,,,)","$2,769",,"1@$2,769",0.51,48@$58,"(,1,,)"
Single,Ripple,Stockton,Brand/Stockton,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Dallas,Brand/Dallas,,10/08/2023,"$3,617",,4@$904,1.18,89@$41,"(,1,3,)","$16,051",,"11@$1,459",0.80,437@$37,"(,5,6,)"
Single,Ripple,Houston,Brand/Houston,,10/08/2023,$857,,0@$0,0.00,7@$122,"(,,,)","$3,635",,"1@$3,635",0.26,48@$76,"(,,1,)"
Single,Ripple,Austin,Brand/Austin,,10/08/2023,$86,,0@$0,0.00,2@$43,"(,,,)",$222,,0@$0,0.00,4@$56,"(,,,)"
Single,Ripple,San Antonio,Brand/San Antonio,,10/08/2023,$235,,0@$0,0.00,4@$59,"(,,,)",$904,,0@$0,0.00,24@$38,"(,,,)"
Single,Ripple,Las Vegas,Brand/Las Vegas,,10/08/2023,$420,,1@$420,2.26,20@$21,"(,,1,)","$2,114",,"1@$2,114",0.45,67@$32,"(,,1,)"
Single,Ripple,Phoenix,Brand/Phoenix,,10/08/2023,$869,,1@$869,1.09,15@$58,"(,,1,)","$4,757",,5@$951,1.10,77@$62,"(,1,4,)"
Single,Ripple,Chicago,Brand/Chicago,,10/08/2023,$278,,0@$0,0.00,6@$46,"(,,,)","$2,100",,"1@$2,100",0.45,42@$50,"(,,1,)"
Single,Ripple,Miami,Brand/Miami,,10/08/2023,$237,,1@$237,4.01,5@$47,"(,,1,)","$1,688",,"1@$1,688",0.56,22@$77,"(,,1,)"
Single,Ripple,Denver,Brand/Denver,,10/08/2023,$0,,0@$0,0.00,0@$0,"(,,,)",$0,,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,National,Brand/National,,10/08/2023,$239,,0@$0,0.00,6@$40,"(,,,)",$239,,0@$0,0.00,6@$40,"(,,,)"
Single,Ripple,PI,Combined,,,,,,,,,,,,,,
Single,Ripple,Los Angeles,PI/Los Angeles,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,326",0@$0,0@$0,0.00,8@$166,"(,,,)"
Single,Ripple,San Jose,PI/San Jose,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$355,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Ontario,PI/Ontario,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$27,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Fresno,PI/Fresno,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Santa Ana,PI/Santa Ana,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Bakersfield,PI/Santa Ana,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Stockton,PI/Stockton,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Dallas,PI/Dallas,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,103",0@$0,0@$0,0.00,5@$221,"(,,,)"
Single,Ripple,Houston,PI/Houston,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$2,173",0@$0,0@$0,0.00,7@$310,"(,,,)"
Single,Ripple,Austin,PI/Austin,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,San Antonio,PI/San Antonio,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$605,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Las Vegas,PI/Las Vegas,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Phoenix,PI/Phoenix,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)","$1,241",0@$0,0@$0,0.00,2@$620,"(,,,)"
Single,Ripple,Chicago,PI/Chicago,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Miami,PI/Miami,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
Single,Ripple,Denver,PI/Denver,,10/08/2023,$0,0@$0,0@$0,0.00,0@$0,"(,,,)",$0,0@$0,0@$0,0.00,0@$0,"(,,,)"
